Year  	V  	I  	D  	W  	G  	P  	N  
1916  	0.5168  	1  	1  	0  	2.229  	4.252  	3 
1920  	0.3612  	1  	0  	1  	-11.463  	16.535  	5 
1924  	0.4176  	-1  	-1  	0  	-3.872  	5.161  	10 
1928  	0.4118  	-1  	0  	0  	4.623  	0.183  	7 
1932  	0.5916  	-1  	-1  	0  	-14.901  	7.069  	4 
1936  	0.6246  	1  	1  	0  	11.921  	2.362  	9 
1940  	0.5500  	1  	1  	0  	3.708  	0.028  	8 
1944  	0.5377  	1  	1  	1  	4.119  	5.678  	14 
1948  	0.5237  	1  	1  	1  	1.849  	8.722  	5 
1952  	0.4460  	1  	0  	0  	0.627  	2.288  	6 
1956  	0.4224  	-1  	-1  	0  	-1.527  	1.936  	5 
1960  	0.5009  	-1  	0  	0  	0.114  	1.932  	5 
1964  	0.6134  	1  	1  	0  	5.054  	1.247  	10 
1968  	0.4960  	1  	0  	0  	4.836  	3.215  	7 
1972  	0.3821  	-1  	-1  	0  	6.278  	4.766  	4 
1976  	0.5105  	-1  	0  	0  	3.663  	7.657  	4 
1980  	0.4470  	1  	1  	0  	-3.789  	8.093  	5 
1984  	0.4083  	-1  	-1  	0  	5.387  	5.403  	7 
1988  	0.4610  	-1  	0  	0  	2.068  	3.272  	6 
1992  	0.5345  	-1  	-1  	0  	2.293  	3.692  	1 
1996  	0.5474  	1  	1  	0  	2.918 	2.268  	3 
