Magnitude,Shift1,Shift2,Shift3,Shift4,Shift5,Shift6,Shift7,Shift8,Shift9,Shift10,Shift11,Shift12,Shift13,Shift14,Shift15
19,1,6,5,3,1,3,5,8,4,19,8,7,10,10,9
18,3,2,3,4,0,3,8,5,2,7,1,9,11,3,10
17,1,2,3,2,3,1,8,8,6,2,3,5,6,2,3
16,3,1,2,1,1,2,5,3,9,8,4,6,3,1,2
15,0,2,5,4,4,1,4,6,5,4,2,2,3,1,1
14,1,1,2,3,2,4,4,3,2,5,4,2,0,0,0
13,4,2,3,5,5,3,3,2,5,3,3,1,1,0,1
12,1,0,1,5,4,2,4,4,1,0,1,1,0,0,0
11,4,1,1,2,6,2,1,1,2,0,1,1,0,0,0
10,1,0,0,2,2,2,1,2,0,0,0,1,2,0,0
9,1,1,0,2,2,1,1,0,0,0,0,1,0,0,0
8,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0
7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
