   hours     A      B      id
    2.9      1      1      1
    2.3      1      1      2
    2.3      1      1      3
    2.5      1      1      4
    4.6      1      2      1
    4.4      1      2      2
    4.9      1      2      3
    4.5      1      2      4
    4.8      1      3      1
    4.5      1      3      2
    4.4      1      3      3
    4.6      1      3      4
    5.8      2      1      1
    5.2      2      1      2
    5.2      2      1      3
    5.3      2      1      4
    8.4      2      2      1
    9.1      2      2      2
    8.7      2      2      3
    9.0      2      2      4
    9.1      2      3      1
    9.4      2      3      2
    8.7      2      3      3
    9.4      2      3      4
    6.4      3      1      1
    5.7      3      1      2
    5.9      3      1      3
    7.2      3      1      4
    9.9      3      2      1
   10.5      3      2      2
   10.6      3      2      3
   12.1      3      2      4
   13.5      3      3      1
   13.0      3      3      2
   13.3      3      3      3
   16.2      3      3      4
