H 	P 	D 
0.09090 	2.200 	0.03635 
0.08942 	2.222 	0.03345 
0.09755 	2.244 	0.03870 
0.09550 	2.267 	0.03745 
0.09678 	2.280 	0.04063 
0.10327 	2.289 	0.04237 
0.10513 	2.289 	0.04715 
0.10840 	2.290 	0.04883 
0.10822 	2.299 	0.04836 
0.10741 	2.300 	0.05160 
0.10751 	2.300 	0.04879 
0.11429 	2.340 	0.05523 
0.11048 	2.386 	0.04770 
0.11604 	2.433 	0.05282 
0.11688 	2.482 	0.05473 
0.12044 	2.532 	0.05531 
0.12125 	2.580 	0.05898 
0.12080 	2.605 	0.06267 
0.12368 	2.631 	0.05462 
0.12679 	2.658 	0.05672 
0.12996 	2.684 	0.06674 
0.13445 	2.711 	0.06451 
0.13325 	2.738 	0.06313 
0.13863 	2.766 	0.06573 
0.13964 	2.793 	0.07229 
