   Y       X1    X2      X3 
   33.2    3.5    9.0    6.1
   40.3    5.3   20.0    6.4
   38.7    5.1   18.0    7.4
   46.8    5.8   33.0    6.7
   41.4    4.2   31.0    7.5
   37.5    6.0   13.0    5.9
   39.0    6.8   25.0    6.0
   40.7    5.5   30.0    4.0
   30.1    3.1    5.0    5.8
   52.9    7.2   47.0    8.3
   38.2    4.5   25.0    5.0
   31.8    4.9   11.0    6.4
   43.3    8.0   23.0    7.6
   44.1    6.5   35.0    7.0
   42.8    6.6   39.0    5.0
   33.6    3.7   21.0    4.4
   34.2    6.2    7.0    5.5
   48.0    7.0   40.0    7.0
   38.0    4.0   35.0    6.0
   35.9    4.5   23.0    3.5
   40.4    5.9   33.0    4.9
   36.8    5.6   27.0    4.3
   45.2    4.8   34.0    8.0
   35.1    3.9   15.0    5.0
