Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,55.87,56.12,55.82,55.83,21832400,55.83
2011-12-29,55.68,56.03,55.50,55.99,28077900,55.99
2011-12-28,56.17,56.26,55.44,55.59,38180100,55.59
2011-12-27,55.99,56.42,55.93,56.24,21443500,56.24
2011-12-23,55.71,56.08,55.58,56.08,26594600,56.03
2011-12-22,55.25,55.63,55.17,55.60,40334100,55.55
2011-12-21,55.60,55.64,54.49,55.13,78552300,55.08
2011-12-20,55.20,56.00,55.17,55.93,81758800,55.88
2011-12-19,55.07,55.20,54.17,54.32,46733900,54.27
2011-12-16,54.87,55.61,54.77,54.86,60978900,54.81
2011-12-15,55.36,55.42,54.66,54.74,58732900,54.53
2011-12-14,55.55,55.59,54.58,54.89,63682800,54.68
2011-12-13,56.75,56.98,55.53,55.76,68557700,55.55
2011-12-12,56.42,57.01,55.90,56.38,55411700,56.17
2011-12-09,56.26,57.19,56.24,57.02,55757900,56.80
2011-12-08,56.71,57.15,56.01,56.12,51692600,55.91
2011-12-07,56.92,57.34,56.35,57.08,44576200,56.86
2011-12-06,57.29,57.45,56.89,57.08,38670000,56.86
2011-12-05,57.47,57.62,56.92,57.24,40492200,57.02
2011-12-02,57.34,57.34,56.57,56.62,36938900,56.40
2011-12-01,56.38,56.93,56.35,56.78,45362200,56.56
2011-11-30,55.86,56.44,55.67,56.39,66918600,56.18
2011-11-29,54.69,55.10,54.22,54.38,52056700,54.17
2011-11-28,54.17,54.79,54.14,54.72,46710700,54.51
2011-11-25,53.06,53.67,52.87,52.88,25448100,52.68
2011-11-23,54.11,54.17,53.26,53.29,48437300,53.09
2011-11-22,54.17,54.68,53.87,54.52,51940100,54.31
2011-11-21,54.65,54.73,53.78,54.34,52283700,54.13
2011-11-18,55.84,55.90,55.30,55.40,60417000,55.19
2011-11-17,57.01,57.04,55.48,55.83,101564300,55.62
2011-11-16,57.71,58.16,57.06,57.17,68342800,56.95
2011-11-15,57.32,58.36,57.26,58.13,52203900,57.91
2011-11-14,57.69,58.01,57.28,57.49,44617600,57.27
2011-11-11,57.27,58.02,57.20,57.85,54471000,57.63
2011-11-10,57.37,57.42,56.23,56.78,66052400,56.56
2011-11-09,57.74,57.83,56.63,56.81,69539000,56.59
