|---Maximum Temperature---|---Minimum Temperature---|----Precipitation---|-------Snowfall-----|------Snowdepth-----|--Heat--|--Cool--
MO DY AVG  NO  HI   YR  LO   YR AVG  NO  HI   YR  LO   YR   AVG  NO  HIGH   YR   AVG  NO  HIGH   YR   AVG  NO  HIGH   YR HDD   NO  CDD  NO
 1  1  56  48  68 1997  44 1962  37  48  62 1997  25 1960 0.062  49  0.97 1955  0.00  50   0.0 2003   0.0  49    0. 2003 18.7  48  0.0  48
 1  2  57  49  69 1996  46 1988  36  48  56 1997  22 1960 0.092  49  1.78 1997  0.00  50   0.0 2003   0.0  50    0. 2003 19.1  48  0.0  48
 1  3  55  48  72 1996  47 1993  37  48  50 1986  25 1961 0.064  49  0.83 1977  0.00  50   0.0 2003   0.0  50    0. 2003 19.3  48  0.0  48
 1  4  56  50  64 2001  43 1974  36  50  52 1986  25 1993 0.090  49  1.82 1974  0.00  50   0.0 2003   0.0  50    0. 2003 19.0  50  0.0  50
 1  5  56  49  66 2001  45 1974  37  50  55 1986  26 1970 0.117  49  2.60 1982  0.00  50   0.0 2003   0.0  50    0. 2003 18.4  49  0.0  49
 1  6  56  49  66 2001  44 1993  37  50  54 1965  28 1993 0.078  49  1.28 1959  0.00  50   0.0 2003   0.0  50    0. 2003 18.8  49  0.0  49
 1  7  56  49  65 2003  44 1969  37  50  53 1956  27 1973 0.065  49  0.74 1995  0.00  50   0.0 2003   0.0  50    0. 2003 18.8  49  0.0  49
 1  8  56  47  75 1962  45 1974  39  47  53 1995  27 1955 0.042  49  0.45 1993  0.00  50   0.0 2003   0.0  50    0. 2003 17.7  46  0.0  46
 1  9  57  47  75 1962  45 1968  39  48  54 1995  28 1957 0.109  48  0.95 1959  0.00  50   0.0 2003   0.0  50    0. 2003 17.3  47  0.0  47
 1 10  57  47  71 1962  48 1974  39  49  57 1959  28 1982 0.132  48  2.02 1995  0.00  50   0.0 2003   0.0  50    0. 2003 16.9  47  0.0  47
 1 11  57  48  66 1996  48 1993  39  49  53 1959  26 1982 0.079  48  0.87 1980  0.00  50   0.0 2003   0.0  50    0. 2003 17.2  48  0.0  48
 1 12  57  48  69 1959  46 1972  39  49  58 1959  26 1982 0.067  48  0.58 1960  0.00  50   0.0 2003   0.0  50    0. 2003 17.1  48  0.0  48
 1 13  57  48  65 1980  45 1987  38  49  60 1980  21 1963 0.112  47  1.49 1993  0.00  50   0.0 2003   0.0  50    0. 2003 17.5  48  0.0  48
 1 14  58  49  66 1983  44 1997  39  49  55 1995  26 1963 0.105  48  1.03 1978  0.00  50   0.0 2003   0.0  50    0. 2003 17.0  49  0.0  49
 1 15  58  48  70 1967  45 1997  39  48  55 1968  25 1963 0.123  48  1.12 1978  0.00  50   0.0 2003   0.0  50    0. 2003 16.4  48  0.0  48
 1 16  58  48  72 1976  48 1997  40  48  56 1974  26 1963 0.115  48  1.20 1973  0.00  50   0.0 2003   0.0  50    0. 2003 16.3  48  0.0  48
 1 17  58  49  70 1976  49 1961  38  49  54 1974  27 1963 0.134  48  1.56 1988  0.00  50   0.0 2003   0.0  50    0. 2003 16.9  49  0.0  49
 1 18  58  49  71 1976  49 1988  39  49  54 1986  28 1961 0.087  48  1.03 1999  0.00  50   0.0 2003   0.0  50    0. 2003 16.7  49  0.0  49
 1 19  59  49  70 1976  49 1985  39  49  54 1999  30 1966 0.128  48  1.82 1969  0.00  50   0.0 2003   0.0  50    0. 2003 16.2  49  0.0  49
 1 20  58  49  75 1976  50 1954  40  49  57 1969  24 1963 0.085  48  0.75 1962  0.00  50   0.0 2003   0.0  50    0. 2003 16.4  49  0.0  49
 1 21  58  49  72 1976  48 1985  39  49  54 1970  26 1966 0.129  48  1.70 1964  0.03  50   1.5 1962   0.0  50    2. 1962 17.2  49  0.0  49
 1 22  58  48  72 1976  35 1962  39  47  57 1970  26 1962 0.137  47  0.66 1964  0.00  50   0.0 2003   0.0  50    0. 2003 16.9  47  0.0  47
 1 23  59  48  74 1968  43 1962  40  48  57 1970  30 1973 0.096  48  0.82 1983  0.00  50   0.0 2003   0.0  50    0. 2003 16.2  48  0.0  48
 1 24  59  48  68 1993  45 1985  39  49  55 2003  25 1982 0.189  49  1.67 2000  0.00  50   0.0 2003   0.0  50    0. 2003 16.2  48  0.0  48
 1 25  58  49  69 1988  47 1954  39  49  55 1960  29 1954 0.147  48  1.65 1969  0.00  50   0.0 2003   0.0  50    0. 2003 16.6  49  0.0  49
 1 26  58  48  67 1976  47 1999  39  48  55 1997  31 2002 0.120  49  0.93 1961  0.00  50   0.0 2003   0.0  50    0. 2003 16.8  48  0.0  48
 1 27  59  49  69 1984  47 1999  39  50  53 2003  27 1979 0.117  49  1.79 1983  0.00  50   0.0 2003   0.0  50    0. 2003 16.5  49  0.0  49
 1 28  58  50  70 1984  44 1963  38  50  52 1997  27 1975 0.057  49  1.05 1981  0.00  50   0.0 2003   0.0  50    0. 2003 17.1  50  0.0  50
 1 29  58  49  71 1984  44 1969  38  49  57 1967  28 2002 0.071  49  0.97 1998  0.00  50   0.0 2003   0.0  50    0. 2003 17.0  49  0.0  49
