v1,v2,v3,v4,v5,y
0,0,-1,0,-0.36761500848295353,0.0086499534630113152
1,-1,0,0,-0.37159387498638691,-0.2044633495477175
0,0,0,0,1.2081504678689237,0.10997332579444692
0,0,0,0,-2.3514989314085932,-0.05578061419012887
0,0,1,0,-1.7604101857452015,-0.05474298270992313
0,0,-2,-1,0.0012649479199725697,-0.082346240707660417
-1,0,1,1,-0.69926424670449572,0.035272020292399155
0,0,1,1,0.932715577442079,0.11520148686327851
1,1,0,1,-0.18786365132496,0.12011679829500115
0,0,0,0,-0.17044082430839269,0.12835593927659708
-1,-1,0,-1,-0.98397650927612235,-0.14606618721928583
-2,-1,0,-1,-0.74017757263947548,-0.09104296178557543
1,0,0,0,0.17125271501943212,0.047361715057631502
1,0,-1,0,-0.5857734134685888,0.024231654293519898
0,-1,0,0,-1.1498093083296708,-0.25843388966241254
0,-1,1,0,-1.4294399540336664,-0.19263582661596984
-1,0,0,0,0.08258977083699108,0.014346414207474456
0,3,1,-1,-0.12173568103391867,0.57014797924224503
1,-1,1,0,0.44960408312561806,-0.41434509917083895
-1,0,0,-1,-0.050911427634062416,0.23513143897868216
0,-1,0,1,-0.90848687127107597,-0.26392301850387412
1,0,0,0,1.0981011363290289,-0.19770964550820797
0,0,-1,-1,-1.5627275576232607,0.11589640246674322
2,0,1,0,0.16939971769988049,-0.0098129764862362329
-1,0,0,0,1.9778019762530694,0.10982922748239374
0,0,0,0,1.2552295174683943,0.16415099215688261
0,-1,-1,-2,0.70020043062139969,-0.18667425058929168
0,0,1,0,0.067991825297481517,0.080588242940769106
1,-1,0,0,0.47800280650966465,-0.40343703397951242
1,0,-1,0,-0.0060892286459156017,-0.26316940145450574
-1,0,0,-1,0.38024879965252173,0.027612980008478234
1,0,0,-1,-0.52602859787745637,-0.09951074233630991
0,-1,-1,0,-1.8949588126704715,-0.32111536866982537
0,0,0,1,-0.5651222563387196,0.10030057669109045
1,2,0,-1,1.2733854991534355,0.38126358216371031
0,0,0,0,0.34123452359693579,-0.19943641132375017
2,0,0,2,0.8059880214356685,-0.068232944135681525
1,2,0,-1,1.9418770950256361,0.30241718961678099
0,0,0,1,-1.2075982838646846,-0.011363840547718555
0,0,1,1,0.015238882914072152,0.098295494111629078
0,0,0,-1,-1.2720107153183491,-0.060865863623655807
0,0,1,0,0.43304020928201892,0.053778242598719841
-2,0,0,-1,0.045558040713792249,0.11959452440647012
1,0,0,0,0.18270070425551393,-0.21884766985400964
0,0,0,1,0.34553774871994947,-0.027835738330400296
0,0,0,0,1.624310049275403,0.15873450488362795
1,-1,0,0,0.79122611716949443,-0.26655055614783074
1,0,0,0,-1.6002799255375524,-0.073663291285392951
0,0,0,1,-1.087839087058621,-0.096260227671510157
3,0,0,-1,0.94547750865373836,0.0067308391979639462
0,1,0,0,0.039371739152105359,0.20557321971488851
0,0,2,-1,-1.3035995334565635,0.11307763476511534
0,0,0,0,1.8148964256165057,0.16527523905927716
0,0,0,0,0.70051766537650861,0.21965145263630753
0,0,2,-1,-1.0701934637268726,0.010621254520301764
0,1,0,0,0.40973023773459372,0.18351037704403692
0,0,0,-1,0.39387602546877887,0.10055423440323977
