Date	Sales	PDI
Q1/64 	37.0 	109 
Q2/64 	33.5 	115 
Q3/64 	30.8 	113 
Q4/64 	37.9 	116 
Q1/65 	37.4 	118 
Q2/65 	31.6 	120 
Q3/65 	34.0 	122 
Q4/65 	38.1 	124 
Q1/66 	40.0 	126 
Q2/66 	35.0 	128 
Q3/66 	34.9 	130 
Q4/66 	40.2 	132 
Q1/67 	41.9 	133 
Q2/67 	34.7 	135 
Q3/67 	38.8 	138 
Q4/67 	43.7 	140 
Q1/68 	44.2 	143 
Q2/68 	40.4 	147 
Q3/68 	38.4 	148 
Q4/68 	45.4 	151 
Q1/69 	44.9 	153 
Q2/69 	41.6 	156 
Q3/69 	44.0 	160 
Q4/69 	48.1 	163 
Q1/70 	49.7 	166 
Q2/70 	43.9 	171 
Q3/70 	41.6 	174 
Q4/70 	51.0 	175 
Q1/71 	52.0 	180 
Q2/71 	46.2 	184 
Q3/71 	47.1 	187 
Q4/71 	52.7 	189 
Q1/72 	52.2 	191 
Q2/72 	47.0 	193 
Q3/72 	47.8 	194 
Q4/72 	52.8 	196 
Q1/73 	54.1 	199 
Q2/73 	49.5 	201 
Q3/73 	49.5 	202 
Q4/73 	54.3 	204 
