sample1,sample2,treatment
1,3,True
3,5,True
2,4,True
3,1,True
1,0,False
1,5,False
0,2,True
0,0,True
1,0,True
0,1,True
5,4,True
0,2,False
5,5,True
1,4,True
0,1,False
0,1,False
2,5,False
5,2,True
2,5,False
5,3,True
3,3,True
1,1,True
1,2,False
3,1,True
3,5,True
1,4,True
2,3,True
4,3,False
3,0,True
5,0,False
2,0,False
5,3,False
2,0,True
3,2,False
3,4,True
3,0,True
4,0,True
3,4,False
2,4,True
2,1,False
1,5,True
5,3,False
4,3,True
5,1,True
4,0,True
1,1,True
5,5,False
2,4,True
2,2,False
0,5,True
2,3,True
2,4,True
3,4,False
2,2,True
4,3,False
2,4,False
5,0,False
1,1,True
2,2,True
5,0,False
0,1,True
2,2,False
4,1,True
5,3,False
4,2,False
5,2,False
5,2,True
1,4,False
1,3,True
1,1,True
0,0,False
1,3,False
0,3,False
2,2,False
0,5,False
2,4,True
5,5,False
4,5,False
0,1,True
0,1,False
1,4,True
0,1,False
4,5,False
4,2,True
1,4,False
4,4,False
0,3,False
5,3,False
0,1,True
0,0,False
4,1,True
1,5,False
2,3,True
2,5,False
0,2,False
2,5,True
1,4,False
0,4,True
2,4,False
0,4,False
3,3,True
2,3,False
4,5,False
1,1,False
4,2,False
5,3,False
1,3,False
2,5,False
2,3,True
3,4,False
4,1,False
4,3,True
4,1,False
1,3,True
2,1,True
1,1,False
0,3,True
5,4,True
3,2,True
2,3,False
1,2,True
1,3,False
0,5,False
2,5,False
3,4,False
2,3,False
0,2,False
2,5,True
5,1,False
5,4,True
5,5,True
0,2,False
5,0,True
4,0,False
0,0,False
5,1,False
1,0,True
1,4,True
3,0,False
0,1,True
1,4,False
5,2,False
3,4,False
3,1,False
1,3,True
2,5,False
0,0,False
2,0,True
1,2,True
2,5,True
3,5,True
3,1,False
1,2,False
5,0,False
2,5,True
1,3,False
5,0,False
2,5,False
2,3,True
1,0,False
2,4,True
5,5,True
3,1,True
5,5,False
5,2,False
4,0,True
4,4,False
4,3,True
3,3,True
3,4,False
4,1,False
0,3,False
4,2,True
5,4,False
1,3,False
4,5,True
5,0,False
0,4,True
0,4,False
1,5,True
5,1,False
4,2,False
0,1,True
0,2,True
1,2,True
0,5,True
3,4,True
2,4,True
3,2,True
0,3,True
0,4,True
5,2,True
5,0,True
3,2,True
2,2,True
5,0,False
0,0,False
4,3,True
2,2,True
3,4,True
